"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"381","Eric Tomlinson","TE","FA","1.7","3.4","2.4","0","3.5","0","0.5","0","1.6","0","-","0","0","0","2.1","0","-","1","15.2"
"382","Jeremy Sprinkle","TE","FA","0","0","0","-","0","0","0","0","0","0","0","0","0","0","10.9","4.2","0","0.9","15.1"
"383","Alex Armah Jr.","RB","FA","6.1","0.4","0.1","-","0.4","0","0","0","6.1","0.3","0","0","0","0","0","0","1.6","0.9","15"
"384","Blake Bell","TE","FA","-","-","-","-","-","-","0","2.3","-","4.7","0","1.5","0","3.6","1.6","0","1","1.5","14.7"
"385","Devonta Freeman","RB","FA","8","-","-","-","6.1","-","-","-","-","-","-","-","-","-","-","-","-","7.1","14.1"
"386","Tommylee Lewis","WR","FA","0","0","-","-","-","-","-","-","-","-","-","9.8","-","3","-1.6","0","2.8","2","14"
"387","Taylor Heinicke","QB","FA","-","-","-","-","-","-","-","0.3","-","0","0","-","0","1.3","-","12.3","-","2.3","13.9"
"388","J.J. Nelson","WR","FA","0","0","0","1.4","0","1.9","3.5","0.8","-","-1","0","0","0","6.8","0","-","-","1","13.4"
"389","Chris Manhertz","TE","NYG","0","0","0","-","0","1.2","0","0","0","0","0","0","0","0","12","0","0","0.8","13.2"
"389","Kevin White","WR","FA","0","0","0","0","-","0","8.4","1.6","-","-","-","0","-","-","-","-","3.2","1.5","13.2"
"391","Sam Ficken","K","FA","-","-","5","8","-","-","-","-","-","-","-","-","-","-","-","-","-","6.5","13"
"392","Nathan Peterman","QB","FA","-2.9","-","-","-","-","2.6","-","0.9","12.2","-","-","-","-","-","-","-","-","3.2","12.8"
"393","Tyler Conklin","TE","LAC","1.6","0","1.7","0","0","0","0","0","0","-","0","0","0","2.1","7.3","0","0","0.8","12.7"
"394","Corey Coleman","WR","FA","-","-","-","-","-","-","-","-","-","2.1","1.9","0","0","6.3","1.8","0.5","0","1.6","12.6"
"395","Russell Gage Jr.","WR","SF","0","-","0","0","0","1.9","0","-","0","0","0","0","1.7","0","5.3","0","3.4","0.8","12.3"
"396","John Kelly Jr.","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0.4","5.9","5.8","3","12.1"
"397","Antony Auclair","TE","FA","0","0","0","1.8","-","1.5","4.5","0","0","0","0","1.8","0","2.2","0","0","0","0.7","11.8"
"398","Joshua Perkins","TE","FA","0","9.7","2","0","0","0","0","0","-","0","-","-","-","-","-","-","-","1.3","11.7"
