,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
5,170,CLE,Austin Seibert,K,22,2024,0,0,0,6,3,40,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,SeibAu00
5,171,NYG,Darius Slayton,WR,22,2025,0,0,5,28,28,97,0,0,0,0,0,5,3,0,271,4063,21,4,,,Auburn,College Stats,SlayDa01
5,172,ATL,Jordan Miller,CB,22,2021,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,4,,,Washington,College Stats,MillJo05
5,173,WAS,Cole Holcomb,LB,23,2025,0,0,3,25,22,62,0,0,0,0,0,0,0,0,0,0,0,279,3,4.5,North Carolina,College Stats,HolcCo00
6,174,ARI,KeeSean Johnson,WR,22,2021,0,0,0,4,4,18,0,0,0,0,0,1,3,0,36,360,1,,,,Fresno St.,College Stats,JohnKe07
6,175,PIT,Sutton Smith,DE,23,2021,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Illinois,College Stats,SmitSu00
6,176,SFO,Kaden Smith,TE,22,2021,0,0,1,3,,33,0,0,0,0,0,0,0,0,52,413,3,2,,,Stanford,College Stats,SmitKa00
6,177,NOR,Saquan Hampton,S,23,2020,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,,,Rutgers,College Stats,HampSa00
6,178,JAX,Gardner Minshew II,QB,23,2025,0,1,4,32,16,60,1094,1729,11950,68,34,167,676,5,1,0,0,1,,,Washington St.,College Stats,MinsGa00
6,179,ARI,Lamont Gaillard,C,23,2020,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,GailLa00
6,180,NYG,Corey Ballentine,CB,23,2025,0,0,0,5,2,70,0,0,0,0,0,0,0,0,0,0,0,76,1,,Washburn,,BallCo00
6,181,BUF,Jaquan Johnson,CB,23,2022,0,0,0,5,5,60,1,1,13,0,0,0,0,0,0,0,0,34,2,,Miami (FL),College Stats,JohnJa11
6,182,CIN,Trayveon Williams,RB,21,2024,0,0,0,3,3,68,0,0,0,0,0,62,307,0,15,74,0,10,,,Texas A&M,College Stats,WillTr06
6,183,SFO,Justin Skule,T,22,2025,0,0,1,11,7,70,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,College Stats,SkulJu00
6,184,DET,Travis Fulgham,WR,23,2021,0,0,1,4,0,17,0,0,0,0,0,0,0,0,38,539,4,,,,Old Dominion,College Stats,FulgTr00
6,185,GNB,Ka'dar Hollman,CB,24,2024,0,0,0,4,1,45,0,0,0,0,0,0,0,0,0,0,0,24,,,Toledo,College Stats,HollKa00
6,186,DET,Ty Johnson,RB,21,2025,0,0,0,15,2,94,0,0,0,0,0,289,1323,5,112,1022,7,15,,,Maryland,College Stats,JohnTy02
6,187,DEN,Juwann Winfree,WR,23,2023,0,0,0,1,0,23,0,0,0,0,0,0,0,0,9,75,0,,,,Colorado,College Stats,WinfJu00
6,188,TEN,David Long,LB,22,2024,0,0,2,23,13,80,0,0,0,0,0,0,0,0,0,0,0,230,4,1.0,West Virginia,College Stats,LongDa04
6,189,CLE,Drew Forbes,T,22,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,SE Missouri St.,,ForbDr00
6,190,MIN,Armon Watts,DT,23,2024,0,0,1,12,7,77,0,0,0,0,0,0,0,0,0,0,0,66,,8.5,Arkansas,College Stats,WattAr01
6,191,MIN,Marcus Epps,S,23,2025,0,0,2,16,0,87,0,0,0,0,0,0,0,0,0,0,0,207,3,,Wyoming,College Stats,EppsMa00
6,192,PIT,Isaiah Buggs,DT,23,2023,0,0,1,11,5,56,0,0,0,0,0,0,0,0,0,0,0,42,,2.0,Alabama,College Stats,BuggIs00
6,193,MIN,Oli Udoh,T,22,2025,0,0,1,9,8,62,0,0,0,0,0,0,0,0,0,0,0,,,,Elon,,UdohOl01
6,194,GNB,Dexter Williams,RB,22,2020,0,0,0,0,0,7,0,0,0,0,0,7,19,0,0,0,0,,,,Notre Dame,College Stats,WillDe07
6,195,HOU,Xavier Crawford,CB,23,2022,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,16,,,Central Michigan,College Stats,CrawXa00
6,196,NYJ,Blessuan Austin,CB,23,2021,0,0,1,6,5,29,0,0,0,0,0,0,0,0,0,0,0,77,,,Rutgers,College Stats,AustBl00
6,197,BAL,Trace McSorley,QB,24,2022,0,0,0,1,0,9,48,93,502,1,5,21,79,0,0,0,0,,,,Penn St.,College Stats,McSoTr00
6,198,SFO,Tim Harris,CB,24,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,College Stats,HarrTi01
6,199,IND,Gerri Green,DE,23,2022,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,GreeGe00
6,200,LAC,Emeke Egbule,LB,22,2021,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,9,,,Houston,College Stats,EgbuEm00
6,201,KAN,Rashad Fenton,CB,22,2022,0,0,0,7,7,49,0,0,0,0,0,0,0,0,0,0,0,98,2,,South Carolina,College Stats,FentRa00
6,202,MIA,Isaiah Prince,T,22,2024,0,0,0,4,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,PrinIs00
6,203,ATL,Marcus Green,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,La-Monroe,College Stats,GreeMa02
6,204,SEA,Travis Homer,RB,21,2024,0,0,0,8,8,75,0,0,0,0,0,89,476,1,55,475,2,24,,,Miami (FL),College Stats,HomeTr00
6,205,CHI,Duke Shelley,CB,22,2024,0,0,0,6,3,53,0,0,0,0,0,0,0,0,0,0,0,70,1,,Kansas St.,College Stats,ShelDu00
6,206,WAS,Kelvin Harmon,WR,22,2019,0,0,1,3,3,16,1,1,11,0,0,0,0,0,30,365,0,2,,,North Carolina St.,College Stats,HarmKe00
6,207,PIT,Ulysees Gilbert,LB,22,2022,0,0,0,2,2,31,0,0,0,0,0,0,0,0,0,0,0,20,,,Akron,College Stats,GilbUl00
6,208,TAM,Scott Miller,WR,22,2025,0,0,1,10,9,84,0,0,0,0,0,8,81,1,90,1154,6,5,,,Bowling Green,College Stats,MillSc01
6,209,SEA,Demarcus Christmas,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,ChriDe01
6,210,CIN,Deshaun Davis,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,DaviDe01
6,211,CIN,Rodney Anderson,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,AndeRo02
6,212,CAR,Dennis Daley,T,23,2023,0,0,2,14,8,54,0,0,0,0,0,0,0,0,0,0,0,1,,,South Carolina,College Stats,DaleDe00
6,213,DAL,Donovan Wilson,S,24,2025,0,0,4,20,20,88,0,0,0,0,0,0,0,0,0,0,0,257,7,13.0,Texas A&M,College Stats,WilsDo01
6,214,KAN,Darwin Thompson,RB,22,2020,0,0,0,2,2,26,0,0,0,0,0,64,225,2,16,108,1,3,,,Utah St.,College Stats,ThomDa06
7,215,TAM,Terry Beckner,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,BeckTe00
7,216,KAN,Nick Allegretti,G,23,2025,0,0,2,19,10,96,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats,AlleNi00
7,217,MIN,Kris Boyd,CB,22,2024,0,0,0,6,6,81,0,0,0,0,0,0,0,0,0,0,0,79,,,Texas,College Stats,BoydKr00
7,218,DAL,Mike Weber,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,WebeMi00
7,219,PIT,Derwin Gray,T,24,2020,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,GrayDe01
7,220,HOU,Cullen Gillaspia,RB,24,2022,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,6,0,8,,,Texas A&M,College Stats,GillCu00
7,221,CLE,Donnie Lewis Jr.,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,LewiDo00
7,222,CHI,Kerrith Whyte Jr,RB,22,2019,0,0,0,1,,6,0,0,0,0,0,24,122,0,1,9,0,,,,Florida Atlantic,College Stats,WhytKe00
7,223,CIN,Jordan Brown,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota St.,,BrowJo04
7,224,DET,Isaac Nauta,TE,22,2020,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,16,0,,,,Georgia,College Stats,NautIs00
7,225,BUF,Darryl Johnson,DE,22,2022,0,0,0,4,3,38,0,0,0,0,0,0,0,0,0,0,0,23,,2.0,North Carolina A&T,,JohnDa10
7,226,GNB,Ty Summers,LB,23,2025,0,0,0,6,4,84,0,0,0,0,0,0,0,0,0,0,0,55,,,TCU,College Stats,SummTy00
7,227,WAS,Jimmy Moreland,CB,24,2021,0,0,0,5,5,37,0,0,0,0,0,0,0,0,0,0,0,65,1,0.5,James Madison,,MoreJi00
7,228,BUF,Tommy Sweeney,TE,24,2022,0,0,0,1,1,24,0,0,0,0,0,0,0,0,18,165,1,,,,Boston Col.,College Stats,SweeTo00
7,229,DET,P.J. Johnson,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,JohnPJ00
7,230,OAK,Quinton Bell,DE,23,2024,0,0,0,3,,26,0,0,0,0,0,0,0,0,0,0,0,18,,1.0,Prairie View A&M,College Stats,BellQu00
7,231,NOR,Alizé Mack,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,MackAl00
7,232,NYG,George Asafo-Adjei,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,AsafGe00
7,233,MIA,Chandler Cox,RB,23,2020,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,9,0,,,,Auburn,College Stats,CoxxCh01
7,234,MIA,Myles Gaskin,RB,22,2024,0,0,1,13,13,46,0,0,0,0,0,364,1354,7,102,712,6,,,,Washington,College Stats,GaskMy00
7,235,JAX,Dontavius Russell,DT,23,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,,,Auburn,College Stats,RussDo00
7,236,SEA,John Ursua,WR,25,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,11,0,,,,Hawaii,College Stats,UrsuJo00
7,237,CAR,Terry Godwin,WR,22,2020,0,0,0,0,,3,0,0,0,0,0,1,3,0,3,32,0,,,,Georgia,College Stats,GodwTe00
7,238,CHI,Stephen Denmark,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Valdosta St.,,DenmSt00
7,239,MIN,Dillon Mitchell,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,MitcDi00
7,240,IND,Jackson Barton,T,24,2024,0,0,0,1,,13,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats,BartJa00
7,241,DAL,Jalen Jelks,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,JelkJa00
7,242,LAC,Cortez Broughton,DT,23,2021,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,4,,,Cincinnati,College Stats,BrouCo00
7,243,LAR,Nick Scott,S,24,2025,0,0,2,12,8,96,0,0,0,0,0,1,6,0,1,23,0,167,4,,Penn St.,College Stats,ScotNi01
7,244,NOR,Kaden Elliss,LB,24,2025,0,0,3,23,8,86,0,0,0,0,0,0,0,0,0,0,0,236,1,18.5,Idaho,College Stats,ElliKa00
7,245,NYG,Chris Slayton,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,SlayCh00
7,246,IND,Javon Patterson,C,22,2020,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats,PattJa00
7,247,MIN,Olabisi Johnson,WR,22,2020,0,0,0,5,5,32,0,0,0,0,0,1,6,0,45,483,3,,,,Colorado St.,College Stats,JohnOl00
7,248,ARI,Joshua Miles,T,23,2024,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,,,,Morgan St.,,MileJo00
7,249,ARI,Michael Dogbe,DE,23,2023,0,0,0,4,4,41,0,0,0,0,0,0,0,0,0,0,0,32,,2.0,Temple,College Stats,DogbMi00
7,250,MIN,Austin Cutting,LS,22,2020,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,1,,,Air Force,College Stats,CuttAu00
7,251,LAR,Dakota Allen,LB,23,2022,0,0,0,2,,38,0,0,0,0,0,0,0,0,0,0,0,19,,,Texas Tech,College Stats,AlleDa01
7,252,NWE,Ken Webster,CB,23,2020,0,0,0,3,,17,0,0,0,0,0,0,0,0,0,0,0,22,,,Mississippi,College Stats,WebsKe00
7,253,WAS,Jordan Brailford,DE,23,2020,0,0,0,1,,5,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma St.,College Stats,BraiJo00
7,254,ARI,Caleb Wilson,TE,23,2020,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,WilsCa00
